PERMNO,date,TICKER,PRC,RET
12490,20140630,IBM,181.27000,-0.016761
12490,20140731,IBM,191.67000,0.057373
12490,20140829,IBM,192.30000,0.009026
12490,20140930,IBM,189.83000,-0.012845
12490,20141031,IBM,164.39999,-0.133962
12490,20141128,IBM,162.17000,-0.006873
12490,20141231,IBM,160.44000,-0.010668
12490,20150130,IBM,153.31000,-0.044440
12490,20150227,IBM,161.94000,0.063466
12490,20150331,IBM,160.50000,-0.008892
12490,20150430,IBM,171.28999,0.067227
12490,20150529,IBM,169.64999,-0.001985
12490,20150630,IBM,162.66000,-0.041202
12490,20150731,IBM,161.99001,-0.004119
12490,20150831,IBM,147.89000,-0.079017
12490,20150930,IBM,144.97000,-0.019744
12490,20151030,IBM,140.08000,-0.033731
12490,20151130,IBM,139.42000,0.004569
12490,20151231,IBM,137.62000,-0.012911
12490,20160129,IBM,124.79000,-0.093228
12490,20160229,IBM,131.03000,0.060421
12490,20160331,IBM,151.45000,0.155842
12490,20160429,IBM,145.94000,-0.036382
12490,20160531,IBM,153.74001,0.063040
12490,20160630,IBM,151.78000,-0.012749
12490,20160729,IBM,160.62000,0.058242
12490,20160831,IBM,158.88000,-0.002117
12490,20160930,IBM,158.85001,-0.000189
12490,20161031,IBM,153.69000,-0.032483
12490,20161130,IBM,162.22000,0.064611
12490,20161230,IBM,165.99001,0.023240
12490,20170131,IBM,174.52000,0.051389
12490,20170228,IBM,179.82001,0.038391
12490,20170331,IBM,174.14000,-0.031587
12490,20170428,IBM,160.28999,-0.079534
12490,20170531,IBM,152.63000,-0.038430
12490,20170630,IBM,153.83000,0.007862
12490,20170731,IBM,144.67000,-0.059546
12490,20170831,IBM,143.03000,-0.000968
12490,20170929,IBM,145.08000,0.014333
12490,20171031,IBM,154.06000,0.061897
12490,20171130,IBM,153.97000,0.009152
12490,20171229,IBM,153.42000,-0.003572
12490,20180131,IBM,163.70000,0.067006
12490,20180228,IBM,155.83000,-0.038913
12490,20180329,IBM,153.42999,-0.015401
12490,20180430,IBM,144.96001,-0.055204
12490,20180531,IBM,141.31000,-0.014349
12490,20180629,IBM,139.70000,-0.011393
12490,20180731,IBM,144.92999,0.037437
12490,20180831,IBM,146.48000,0.021528
12490,20180928,IBM,151.21001,0.032291
12490,20181031,IBM,115.43000,-0.236625
12490,20181130,IBM,124.27000,0.090184
12490,20181231,IBM,113.67000,-0.085298
14593,20090130,AAPL,90.13000,0.056005
14593,20090227,AAPL,89.31000,-0.009098
14593,20090331,AAPL,105.12000,0.177024
14593,20090430,AAPL,125.83000,0.197013
14593,20090529,AAPL,135.81000,0.079313
14593,20090630,AAPL,142.42999,0.048745
14593,20090731,AAPL,163.39000,0.147160
14593,20090831,AAPL,168.21001,0.029500
14593,20090930,AAPL,185.35001,0.101896
14593,20091030,AAPL,188.50000,0.016995
14593,20091130,AAPL,199.91000,0.060531
14593,20091231,AAPL,210.73199,0.054134
14593,20100129,AAPL,192.06300,-0.088591
14593,20100226,AAPL,204.62000,0.065380
14593,20100331,AAPL,235.00000,0.148470
